client_id,first_name,last_name,date_of_birth,phone,email,first_purchase,address_city,address_street,address_localite,address_postcode,address_canton
T5-9886218V,Camille,Uldry,2003-07-23,+41 88 217 90 63,c_uldry@hotmail.fr,2020-01-09,Reichenbach im Kandertal,Arisstrasse 65,Reichenbach im Kandertal,3713,BE
Q4-2131001p,David,Délèze,1967-12-31,029 195 82 38,daviddeleze@sunrise.ch,2020-01-10,Aesch BL,Lindenweg 4a,Aesch BL,4147,BL
f1-3563813h,José,Corpataux,1990-03-28,048 709 35 35,jose_corpataux@vtxnet.ch,2020-01-10,Fällanden,Unterdorfstrasse 13a,Fällanden,8117,ZH
S3-9565941U,Paul,Vermeil,1941-01-28,+41 96 592 14 61,p.vermeil@bluewin.ch,2020-01-10,Diepoldsau,Mittelfeldstrasse 6.1,Diepoldsau,9444,SG
J0-0587701x,Véronique,Paccot,1985-04-03,+41 (0)23 964 62 19,veronique.paccot@sunrise.ch,2020-01-10,L'Abbaye,Rue du Moulin 3,L'Abbaye,1344,VD
H5-9529603N,Samuel,Boichat,1950-07-21,+41 (0)36 720 07 67,samuel_boichat98@hotmail.fr,2020-01-10,Mühlau,Hofstattächer 3.1,Mühlau,5642,AG
O7-7411135i,Yvonne,Vuille,1993-08-31,073 062 92 40,yvonne.vuille759@gmail.com,2020-01-11,Altstätten,Forststrasse 6,Altstätten SG,9450,SG
J7-8088737q,Manuel,Brahier,1938-07-07,061 331 93 42,mbrahier@hispeed.ch,2020-01-11,Glarus Nord,Schulstrasse 5.1,Niederurnen,8867,GL
d7-1407003m,Sandrine,Godet,1976-06-17,024 975 62 82,sgodet304@hotmail.fr,2020-01-11,Samedan,Crusch 32,Samedan,7503,GR
t8-7771173I,Olivier,Muriset,1952-09-30,+41 (0)22 999 92 26,olivier.muriset@sunrise.ch,2020-01-11,Chur,Wiesentalstrasse 68,Chur,7000,GR
P7-7815480U,Gilbert,Bouvier,1955-08-19,+41 40 298 21 19,gilbert.bouvier818@yahoo.fr,2020-01-11,Basel,Reiterstrasse 6,Basel,4054,BS
d5-6099539X,Gabriel,Blanc,1988-02-14,+41 (0)52 163 40 33,gblanc@vtxnet.ch,2020-01-12,Fischingen,Feld 1.5,Fischingen,8376,TG
W0-5537995b,Germaine,Bourquard,1990-03-05,+41 (0)83 876 98 24,germaine_bourquard283@hotmail.fr,2020-01-12,Val-de-Ruz,Rue du Seu 13,Chézard-St-Martin,2054,NE
a2-3637123v,Olivier,Muriset,1971-12-15,+41 (0)87 918 07 45,o_muriset60@romandie.com,2020-01-12,Ostermundigen,Rütiweg 15a,Ostermundigen,3072,BE
a0-4952088b,Georges,Cossy,1977-11-29,+41 (0)81 315 56 44,georges.cossy@yahoo.fr,2020-01-12,Baden,Im Ergel 2887,Baden,5404,AG
d0-203973o,Arthur,Matile,1999-04-13,027 452 73 36,a_matile833@sunrise.ch,2020-01-13,Lancy,Route du Grand-Lancy 114b,Grand-Lancy,1212,GE
r7-7249552q,Alicia,Délèze,1935-01-13,+41 44 946 13 04,adeleze577@vtxnet.ch,2020-01-13,Arbon,Badgasse 2,Arbon,9320,TG
I8-4542592B,Eliane,Vienne,1978-09-15,053 752 05 13,eliane.vienne@hotmail.fr,2020-01-13,Gachnang,Rebbergstrasse 11,Gachnang,8547,TG
h1-561381Z,Michael,Beuret,1962-07-02,+41 82 916 97 48,m_beuret479@hotmail.fr,2020-01-13,Chur,Poststrasse 1,Chur,7000,GR
h7-4745746V,Nicole,Chatriand,1961-12-12,066 112 63 58,nicole.chatriand@hotmail.fr,2020-01-14,Troistorrents,Route de la Crotaz 17,Troistorrents,1872,VS
M7-3046232F,Maxime,Piccand,1962-08-04,+41 (0)57 557 63 19,mpiccand483@bluewin.ch,2020-01-14,Bellinzona,Via Scalascia 3b,Bellinzona,6503,TI
l6-049864v,Roland,Deladoëy,1961-05-22,+41 22 022 66 65,r_deladoey@bluewin.ch,2020-01-14,Belp,Gürbeweg 22,Belp,3123,BE
t2-5861892P,François,Rosselat,1974-11-09,+41 37 834 71 35,francois.rosselat902@gmail.com,2020-01-14,Grabs,Ils 2453.1,Grabs,9472,SG
H4-9612149z,Jeanne,Bourquin,1958-05-26,+41 82 625 33 68,jbourquin639@yahoo.fr,2020-01-15,Thônex,Chemin de Lacolat 12,Thônex,1226,GE
R9-5922571h,Laurent,Broquet,1965-10-24,+41 (0)41 264 72 24,laurentbroquet684@romandie.com,2020-01-15,Würenlingen,Fliederweg 2,Würenlingen,5303,AG
h3-3252366w,Raymond,Pachoud,1987-04-07,+41 (0)56 143 74 92,rpachoud680@yahoo.fr,2020-01-15,Solothurn,Lerchenweg 8,Solothurn,4500,SO
d0-6051126o,Céline,Bujard,1965-06-23,+41 58 120 18 98,celine_bujard@sunrise.ch,2020-01-16,Hinwil,Alte Zihlstrasse 5,Hinwil,8340,ZH
E3-2814281Q,Patricia,Rosselat,2001-12-12,+41 77 734 25 06,p.rosselat649@romandie.com,2020-01-16,Saas-Almagell,Zum Bergweg 20,Saas-Almagell,3905,VS
z0-1152373K,Monique,Masseron,2004-03-13,+41 (0)79 884 12 19,moniquemasseron124@gmail.com,2020-01-16,Sion,Rue Traversière 4,Sion,1950,VS
K0-4129011w,André,Crevoisier,1993-01-18,054 818 31 17,andre.crevoisier682@bluewin.ch,2020-01-16,Lausanne,Avenue Floréal 15,Lausanne,1006,VD
J2-1003460m,Camille,Gillièron,1975-09-12,+41 (0)51 410 50 89,camillegillieron466@sunrise.ch,2020-01-17,Sachseln,Edisriederstrasse 105.1,Sachseln,6072,OW
u2-829510M,Lara,Chopard,1979-11-08,073 391 16 98,l.chopard224@sunrise.ch,2020-01-17,Stäfa,Rainstrasse 67.2,Stäfa,8712,ZH
R6-3451790t,Nelly,Badan,1958-01-05,+41 (0)41 733 21 92,nellybadan493@vtxnet.ch,2020-01-17,Horgen,Speerstrasse 30a,Horgen,8810,ZH
j2-4003921D,Gérard,Duvanel,1948-02-17,+41 89 826 70 39,gerard.duvanel606@hotmail.fr,2020-01-17,Orbe,Chemin des Uttins 1.1,Orbe,1350,VD
w7-5631208p,Matteo,Montandon,1955-10-12,+41 50 630 79 06,matteo_montandon854@romandie.com,2020-01-18,Kerzers,Gummenweg 52p,Kerzers,3210,FR
V8-388694U,Nathan,Galland,1987-07-06,+41 46 586 06 39,nathan.galland@gmail.com,2020-01-18,Biel/Bienne,Seilerweg / Chemin des Cordiers 72,Biel/Bienne,2503,BE
y1-2646739c,Josiane,Vonlanthen,1949-03-15,051 048 67 15,j_vonlanthen@hispeed.ch,2020-01-18,Pfäffikon ZH,Pfäffikerstrasse 21,Auslikon,8331,ZH
c1-0377045j,Maurice,Bouvier,1965-07-29,+41 (0)65 014 72 08,maurice_bouvier325@hotmail.fr,2020-01-18,Basel,St. Johanns-Ring 39,Basel,4056,BS
w9-2526612P,Roger,Mottet,1949-02-16,+41 (0)61 015 79 39,rogermottet@gmail.com,2020-01-19,Herrliberg,Rietliweg 92,Herrliberg,8704,ZH
N0-9571113C,Raymond,Fonjallaz,1947-11-21,+41 85 995 63 43,raymondfonjallaz810@yahoo.fr,2020-01-19,Horgen,Aaweiherstrasse 4,Horgen,8810,ZH
F1-6131298L,Bernard,Pachoud,1997-11-17,+41 (0)79 133 03 30,bpachoud@hispeed.ch,2020-01-19,Attiswil,Felsenweg 13,Attiswil,4536,BE
b1-4327722l,Sylvie,Evéquoz,1961-09-28,075 970 54 98,s.evequoz@sunrise.ch,2020-01-19,Plaffeien,Rüttistrasse 14,Plaffeien,1716,FR
x8-6914228X,David,Alber,1960-12-07,+41 (0)97 663 25 24,dalber530@gmail.com,2020-01-20,Bellinzona,Via Birreria 38,Bellinzona,6503,TI
K9-6648317I,Chantal,Diesbach,1992-01-15,049 047 68 19,chantal_diesbach256@hispeed.ch,2020-01-20,Basel,Weiherhofstrasse 57,Basel,4054,BS
h7-4735260p,Céline,Muriset,1970-05-30,+41 (0)44 091 75 94,c_muriset@hotmail.fr,2020-01-20,Kriens,Bergstrasse 41a,Kriens,6010,LU
L8-8771377P,Léo,Boechat,1971-10-01,+41 (0)54 010 98 17,leo.boechat@hotmail.fr,2020-01-20,Obfelden,Sentmattstrasse 38,Obfelden,8912,ZH
P0-102158t,Michel,Corboz,1996-09-04,+41 (0)91 890 23 10,michel.corboz@yahoo.fr,2020-01-21,Meilen,Stelzenstrasse 47,Meilen,8706,ZH
k0-5779216b,Thérèse,Bavaud,1944-09-30,+41 24 232 35 39,therese_bavaud@gmail.com,2020-01-21,Frick,Römerweg 5,Frick,5070,AG
s2-4351050B,Henri,Tinguely,2000-01-03,+41 (0)22 551 96 46,h_tinguely@romandie.com,2020-01-21,Wil SG,Weierhofgasse 11,Wil SG,9500,SG
g2-4935571j,Alexandre,Menthonnex,1964-02-28,+41 (0)54 062 88 39,a.menthonnex@hispeed.ch,2020-01-21,Brig-Glis,Termerweg 67,Brig,3900,VS
B4-4965703A,Claude,Bugnon,2003-07-13,+41 22 548 70 04,claude.bugnon503@hispeed.ch,2020-01-22,Suhr,Buhaldeweg 10,Suhr,5034,AG
W4-310841e,Nolan,Cornut,1954-02-15,077 435 67 11,nolan.cornut105@gmail.com,2020-01-22,Olten,Blumenweg 35,Olten,4600,SO
H2-8527582s,Manuel,Privet,1940-04-19,+41 (0)37 548 50 77,manuelprivet@hotmail.fr,2020-01-22,Rümlang,Meienbreitenstrasse 9.5,Rümlang,8153,ZH
g0-7646826g,Isabelle,Carraud,1936-08-17,+41 (0)41 910 13 93,isabelle.carraud273@bluewin.ch,2020-01-22,Ehrendingen,Gipsstrasse 8,Ehrendingen,5420,AG
p0-3869368C,Laetitia,Badan,1940-11-08,+41 (0)98 499 96 57,laetitia_badan@gmail.com,2020-01-23,Chardonne,Chemin du Grand Pin 63,Chardonne,1803,VD
n2-0312746w,Emma,Barbey,1988-05-01,+41 (0)28 438 90 28,ebarbey896@yahoo.fr,2020-01-23,Mosnang,Chürzestrasse 27,Mosnang,9607,SG
Y8-4539380B,Nathalie,Droz,1974-05-01,+41 84 227 08 27,nathaliedroz52@yahoo.fr,2020-01-23,Dürnten,J.-C.-Heer-Strasse 44a,Dürnten,8635,ZH
K6-213400U,Christine,Carraud,1949-10-11,+41 27 752 04 69,c.carraud@hotmail.fr,2020-01-24,Erlinsbach AG,Nellweg 1,Erlinsbach,5018,AG
u8-487279X,Christiane,Coigny,1995-09-08,+41 61 596 88 79,christiane_coigny@hotmail.fr,2020-01-24,Zofingen,Haldenweg 21.2,Zofingen,4800,AG
q3-7811173R,Mathilde,Chapuis,1936-07-22,+41 (0)45 110 66 08,m.chapuis243@romandie.com,2020-01-24,Leysin,Crettaz 2,Leysin,1854,VD
A3-6464336B,Madeleine,Crevoisier,1967-04-26,+41 43 617 73 72,madeleine.crevoisier@sunrise.ch,2020-01-24,Dietikon,Rebbergstrasse 13,Dietikon,8953,ZH
J2-745902E,Sarah,Paschoud,1938-06-26,+41 (0)84 194 84 76,s.paschoud@sunrise.ch,2020-01-25,Zürich,Zehntenhausstrasse 5,Zürich,8046,ZH
v4-1314420K,Manon,Cousin,1944-09-17,+41 (0)59 894 40 49,manon_cousin@bluewin.ch,2020-01-25,Kaltbrunn,Speerstrasse 6,Kaltbrunn,8722,SG
Y9-3782634b,Sara,Aebi,1942-05-03,+41 (0)50 460 45 15,s_aebi@romandie.com,2020-01-25,Wangen an der Aare,Sternenstrasse 11,Wangen an der Aare,3380,BE
N0-3348764M,Elisa,Masseron,1989-12-29,+41 83 329 49 65,emasseron546@gmail.com,2020-01-26,Uetikon am See,Hofstrasse 12,Uetikon am See,8707,ZH
f3-8881018f,Olivier,Barillon,1967-08-26,+41 (0)83 078 48 91,olivier.barillon@sunrise.ch,2020-01-26,Kölliken,Hauptstrasse 152.1,Kölliken,5742,AG
O4-9177414V,Nicolas,Rosselet,2004-03-05,+41 72 925 69 09,n.rosselet@hotmail.fr,2020-01-26,Pully,Chemin de Chamblandes 25,Pully,1009,VD
B6-1853546H,Sara,Barbey,2004-06-02,+41 94 624 59 87,sarabarbey@yahoo.fr,2020-01-26,Schaffhausen,Schlossstrasse 85.1,Schaffhausen,8207,SH
I6-139217E,Manuel,Francillon,1984-04-07,+41 (0)94 880 79 87,manuel.francillon@yahoo.fr,2020-01-27,Zürich,Schönauweg 12,Zürich,8052,ZH
K0-6302774r,Jean-Pierre,Joly,1990-11-29,071 615 92 96,jjoly233@vtxnet.ch,2020-01-27,Bad Ragaz,Fläscherstrasse 21.1,Bad Ragaz,7310,SG
A7-1442213x,Arthur,Montandon,1942-05-23,+41 24 070 52 46,arthurmontandon@yahoo.fr,2020-01-27,Itingen,Ahornweg 12,Itingen,4452,BL
z1-6479607G,Sophie,Vuille,1951-07-15,079 754 56 39,sophievuille@romandie.com,2020-01-27,Fehraltorf,Russikerstrasse 61,Fehraltorf,8320,ZH
L0-7588967g,Daniel,Chappuis,2001-05-04,+41 78 615 61 57,dchappuis@sunrise.ch,2020-01-28,Muotathal,Kloster St. Josef 2.3,Muotathal,6436,SZ
K3-1853368e,Aurélie,Cattin,1985-01-25,+41 (0)30 158 60 57,aurelie_cattin961@romandie.com,2020-01-28,Therwil,Känelmattweg 4a,Therwil,4106,BL
D1-9626491R,Chantal,Grosjean,1957-02-03,+41 (0)35 173 30 31,chantal.grosjean@yahoo.fr,2020-01-28,Liddes,Chemin de la Chenoz 38,Liddes,1945,VS
n4-967447i,Léa,Cosandey,1974-01-08,+41 63 297 74 10,lea_cosandey@hispeed.ch,2020-01-29,Aubonne,Route de l'Etraz 164,Aubonne,1170,VD
R6-6217492F,Florian,Berberat,1952-08-28,+41 (0)62 772 21 16,f_berberat843@romandie.com,2020-01-29,Zufikon,Aettigüpfstrasse 22a,Zufikon,5621,AG
F8-7505448L,Charles,Beurret,1941-02-24,+41 31 539 49 94,charles.beurret797@vtxnet.ch,2020-01-29,Rheinfelden,Alleeweg 24a,Rheinfelden,4310,AG
i1-6052044E,Georges,Evéquoz,1938-12-31,038 201 65 91,gevequoz@hispeed.ch,2020-01-29,Vernier,Route de Canada 108,Vernier,1214,GE
m2-6251302z,Luca,Comman,1978-02-02,045 721 89 38,lcomman416@hispeed.ch,2020-01-30,Ingenbohl,Ölistrasse 1,Brunnen,6440,SZ
g8-7426524O,Alice,Marty,1972-06-12,+41 (0)77 602 46 53,alicemarty4@bluewin.ch,2020-01-30,Wald ZH,Dieterswilerstrasse 46,Wald ZH,8636,ZH
n9-1104349g,Romain,Bouvier,1990-06-23,+41 48 260 70 15,romainbouvier@romandie.com,2020-01-30,Schattdorf,Dorfstrasse 31a,Schattdorf,6467,UR
y4-930942m,Eliane,Polla,1936-04-30,+41 52 996 26 43,e.polla@vtxnet.ch,2020-01-31,Pully,Avenue de l'Avenir 12.1,Pully,1009,VD
Q4-8436829D,Marianne,Chevalley,1987-05-05,+41 51 518 85 22,marianne.chevalley866@sunrise.ch,2020-01-31,Uzwil,Wattstrasse 8b,Uzwil,9240,SG
S6-0759057Q,Louis,Gubéran,1986-10-17,067 296 76 02,l.guberan@bluewin.ch,2020-01-31,Adliswil,Hofernweg 38,Adliswil,8134,ZH
o8-2239008t,Albert,Bovet,1935-12-19,+41 (0)82 213 26 78,a.bovet712@romandie.com,2020-02-01,Aadorf,Löhrackerweg 9,Aadorf,8355,TG
B4-4946077q,Christian,Rossellat,1966-10-24,+41 (0)88 902 22 25,c_rossellat247@vtxnet.ch,2020-02-01,La Punt Chamues-ch,Gulas 23a,La Punt Chamues-ch,7522,GR
t8-3091389i,Alain,Cattin,1962-06-12,+41 99 528 46 70,alain_cattin636@hotmail.fr,2020-02-01,Basel,Neubadstrasse 76.1,Basel,4054,BS
E0-1882076n,Thomas,Cattin,1962-10-27,+41 90 071 14 75,t_cattin@hotmail.fr,2020-02-01,Basel,Austrasse 85,Basel,4051,BS
U4-4875255g,Chloé,Blanc,1960-04-22,+41 (0)25 714 11 22,chloe.blanc879@sunrise.ch,2020-02-02,Muotathal,Hauptstrasse 60,Muotathal,6436,SZ
V2-8532484k,Catherine,Beguin,1983-09-04,+41 (0)48 603 70 62,catherine.beguin458@vtxnet.ch,2020-02-02,Genève,Boulevard de la Cluse 65,Genève,1205,GE
k1-6236470h,Camille,Saudan,1975-08-02,+41 74 374 62 07,camille_saudan@sunrise.ch,2020-02-02,Zürich,Friesenbergstrasse 141,Zürich,8055,ZH
M2-1372023A,Antonio,Chopard,1962-05-01,+41 (0)61 037 86 85,a.chopard823@hotmail.fr,2020-02-03,Gryon,Route de l'Alpe des Chaux 38,Gryon,1882,VD
P8-1838286T,Guillaume,Chatriant,1987-08-06,+41 (0)62 945 39 59,guillaume.chatriant825@bluewin.ch,2020-02-03,Buchs AG,Neumattstrasse 1,Buchs AG,5033,AG
a6-5029822E,Camille,Vallélian,1948-08-05,+41 (0)29 930 91 56,c.vallelian@sunrise.ch,2020-02-03,Winterthur,Im Grafenhag 20,Winterthur,8404,ZH
W3-4377746l,Caroline,Robadey,1971-12-16,063 073 17 25,carolinerobadey806@gmail.com,2020-02-04,Echallens,Chemin du Grésaley 19,Echallens,1040,VD
X6-0688750k,Lucie,Coigny,1969-09-06,+41 (0)97 356 18 54,l_coigny@bluewin.ch,2020-02-04,Steinach,Alpsteinstrasse 8,Steinach,9323,SG
x7-4196099V,Nelly,Cosendey,1958-12-19,045 265 21 80,ncosendey@sunrise.ch,2020-02-04,Weiningen ZH,Im Riesentobel 3,Weiningen ZH,8104,ZH
a4-3313653l,David,Chatriand,1975-01-04,+41 (0)50 536 78 37,david.chatriand@hotmail.fr,2020-02-04,Val-de-Travers,Rue du Levant 12.2,Fleurier,2114,NE
O5-3068526K,Nathan,Babey,1980-01-02,+41 29 902 09 20,n.babey@vtxnet.ch,2020-02-05,Lutry,Route de Lavaux 20.1,Lutry,1095,VD
N6-5459932Y,Elisabeth,Francillon,1983-05-05,051 644 33 49,elisabeth_francillon@hotmail.fr,2020-02-05,Sumiswald,Spitalstrasse 37a,Sumiswald,3454,BE
n5-4341486P,Anne,Cosandey,1957-10-24,+41 (0)50 444 86 57,a.cosandey696@gmail.com,2020-02-05,Zürich,Anton-Higi-Strasse 7,Zürich,8046,ZH
D1-110449A,Danielle,Uldry,1998-01-18,028 858 93 86,d_uldry@sunrise.ch,2020-02-06,Birmensdorf ZH,Industriestrasse 14.8,Birmensdorf ZH,8903,ZH
Q5-6974646H,Claude,Conrad,1971-12-08,+41 (0)39 357 87 47,c_conrad581@bluewin.ch,2020-02-06,Oberwil BL,Wilhelm Schindler Weg 17a,Oberwil BL,4104,BL
m5-8015893s,Ethan,Cornut,2004-06-07,+41 (0)77 192 73 00,e.cornut@bluewin.ch,2020-02-06,Genève,Avenue de Sainte-Clotilde 18bis,Genève,1205,GE
